mSec,Latitude,Longitude,Altitude,Speed,AccelX,AccelY,AccelZ,Soc1,Soc2,Soc3,BDat1,BDat2,BDat3
1288731194000,37.780614,-122.406052,-19.000000,53.000000,-0.040861,-0.381370,-11.917805,0.999995,0.827374,0.871252,0.952585,0.860216,0.825725
1288731197000,37.780330,-122.406390,-20.000000,49.000000,1.035146,-0.422231,-10.950760,0.954545,0.804882,0.971239,0.901507,0.841934,0.937320
1288731202000,37.779981,-122.406803,-21.000000,26.000000,-0.313268,1.035146,-7.627395,0.849124,0.937377,0.953693,0.926117,0.910383,0.807228
1288731205000,37.779853,-122.406959,-21.000000,24.000000,0.694638,0.108963,-10.038197,0.908214,0.903201,0.926313,0.862158,0.806978,0.904208
1288731208000,37.779713,-122.407093,-22.000000,22.000000,0.000000,0.912563,-7.246025,0.827402,0.964169,0.825234,0.919477,0.992759,0.889691
1288731211000,37.779558,-122.407023,-22.000000,27.000000,1.266692,-1.116868,-9.724928,0.807103,0.915942,0.982343,0.824464,0.902275,0.937866
1288731216000,37.779273,-122.406669,-23.000000,31.000000,0.231546,2.070293,-9.466142,0.973907,0.901943,0.801234,0.865637,0.951898,0.899321
1288731219000,37.779123,-122.406471,-23.000000,27.000000,2.138395,-0.721878,-9.765789,0.826897,0.914408,0.962151,0.898427,0.822778,0.888129
1288731222000,37.778968,-122.406272,-22.000000,30.000000,0.422231,0.108963,-12.448997,0.894095,0.943178,0.841283,0.969569,0.881258,0.880913
1288731225000,37.778817,-122.406090,-23.000000,18.000000,0.503953,1.729784,-9.425281,0.880454,0.823216,0.921238,0.861849,0.943451,0.815486
1288731230000,37.778769,-122.406047,-23.000000,0.000000,-0.081722,0.231546,-10.419566,0.907880,0.989101,0.902313,0.815439,0.941283,0.961057
1288731254000,37.778721,-122.406004,-23.000000,14.000000,0.108963,-1.307553,-9.507003,0.835985,0.929277,0.935324,0.828630,0.882348,0.843140
1288731258000,37.778565,-122.405800,-23.000000,25.000000,0.721878,-2.369941,-8.962189,0.977782,0.801772,0.994948,0.801311,0.814709,0.982834
1288731261000,37.778383,-122.405553,-23.000000,41.000000,0.231546,-0.108963,-10.419566,0.927366,0.830674,0.828559,0.978748,0.881626,0.837349
1288731264000,37.778158,-122.405264,-23.000000,40.000000,0.190685,-0.844462,-12.980191,0.958704,0.949672,0.951776,0.847703,0.973282,0.988680
1288731267000,37.777948,-122.405012,-24.000000,36.000000,0.762739,-1.076007,-11.917805,0.969766,0.943460,0.942968,0.995205,0.817936,0.949461
1288731272000,37.777637,-122.404599,-23.000000,37.000000,-0.108963,-0.108963,-9.152874,0.890071,0.804375,0.910958,0.872616,0.990475,0.865063
1288731275000,37.777428,-122.404320,-24.000000,40.000000,0.190685,-0.231546,-10.038197,0.969736,0.861913,0.991318,0.821344,0.810823,0.861883
